Producto,PLU
HEB HEB COCO RALLADO,2093
TAJIN TAJIN  CLASICO 400GR,1481
 ENSALADA  ITALIANA ORG 2 LB,6317
MR LUCKY HOJAS DE LECHUGA OREJONA,6317
HEB HEB CIRUELA PASA SIN HUESO 200 GR,2093
HEB ROMERO MACHO,2098
EVA LECHUGA HIDROPONICA MINI ROMAINE,2246
 CIRUELA  NEGRA IMP,4040
 FRIJOL OJO DE CABRA,4985
TE VERDE,2098
HEB HEB ENSALADA CESAR,2085
HEB ZANAHORIA BABY HEB,2093
HEB ENSALADA PRIMAVERA HEB,2089
HEB HOJAS DE LECHUGA OREJONA ORGÁNICA HEB 200G,2009
 PLATANO DOMINICO,4234
 COL DE BRUSELAS,4550
HEB TAMARINDO 500GR,2093
 PERA BOSC,4026
HEB SALSA VERDE CASERA HEB CH,7242
 BOLTHOUSE ZANAHORIA BABY,6410
 FRUTOS DE VIDA NARANJA APIO NOPAL 1LT,3012
 FRIJOL PERUANO,4986
HEB ARANDANO 150GR,2093
 AJO PELADO BOTE 280 G,6310
HEB FRESH PEPINO,2381
 CHAMPINON BLANCO A GRANEL,4085
HEB HEB CIRUELA PASA,2093
 EARTHBOUND FARM BABY MIXED BABY KALES,0190
HEB SALSA  DEL DIA HEB CH,7245
 MANGO MANILILLA,4316
 UVA  GLOBO ROJA,9643
 SHALLOT MR LUCKY,6313
 PLATANO DESHIDRATADO 150GR,4550
HEB SALSA ROJA  CASERA HEB CH,7241
 MANDARINA   MURCOTT,3019
HEB CORAZON DE NUEZ 300GR,2084
 FRUTOS DE VIDA NARANJA APIO NOPAL 320ML,3012
HEB LECHUGA ICEBERG RALLADA,2090
HEB HEB CHILE DE ARBOL  100GR,2093
 ELOTE COCIDO,3008
PULPI-K PULPI-K  DIP LIGHT CON STEVIA 200GR,3012
 MENTA EMPACADA,2007
 AJO JAPONES 70 GR,0019
 TOMATE CHERRY SUNBURSTS,6664
 NARANJA NAVEL S/SEMILLA,4012
 PERA  ASIATICA,4408
 CEBOLLIN EMPACADA,3018
MR LUCKY AJO PELADO  EN BLISTER,6310
HEB GRANILLO DE NUEZ150G,2086
 AJO A GRANEL SUPREMO,8254
NUTRIBITS EAT SMART  COL DE BRUCELAS,3513
EVA BITS DE BROCOLI,3022
 CHAYOTE CON ESPINAS,4766
HEB HEB CANELA 100 GR,2093
HEB GUACAMOLE HEB GRANDE,9002
 HOJAS DE LECHUGA   ITALIANA,6317
HEB MANGO  ENCHILADO,6249
PULPI-K MANGO  ENCHILADO MED,3012
HEB GERMINADO DE BROCOLI,2095
HEB MANZANILLA,2098
NUTRIBITS NUTRIBITS ESPINACA TIERNA 250 GR,4882
 ALBAHACA MORADA EMPACADA,3018
 PLATANO ENCHILADO 150 GR,3018
 LECHUGA  BABY 4 PACK,3260
DON ZABOR CHILE ANCHO ANCHO 100GRS,3019
 ESPINACA MANOJO,2236
FRESH GOURMET CRUTON  CESAR CON AJO LIBRE DE GRASA,3591
HEB ALMENDRA FILETEADA,2092
NUTRIBITS VEGGIE RICE COLIFLOR,4881
 COCO,4262
 ROMERO EMPACADA,2007
 FRESA ORGANICA,2236
SINAVAN BACTERICIDA ORGANICO,3007
EARTHBOUND FARM EARTHBOUND FARM BABY SPINACH & SPR,0190
HEB ARANDANOS  ORGANICOS,2021
 CHAMOY MEGA 370 GRS,5450
LEONALI VEGETALISTOS BETABEL RAYADO 390 GR,3004
PULPI-K PULPI-K  DIP NATURAL,3012
HEB ENSALADA ITALIANA ORGÁNICA HEB 200G,2009
 CEBOLLIN EMPACADA,2007
DON ZABOR CHILE CASCABEL,2210
 CHAMPINON CREMINI DE 450GR,1024
HEB AGUA FRESCA 500 ML,XXXX
 LECHUGA CORAZON MINI CHAROLA,3260
PULPI-K PULPI-K LIGHT 470GR,3012
 MINI FLAKES DE COLIFLOR,6311
HEB TOMILLO,2098
 NUTRIBITS COCO ENTERO,4881
TE TE HELADO CON STEVIA 130 GR,2254
 ARANDANO  DESHIDRATADO,4242
 TORONJA RUBY RED ROSA,4291
 CHILE ANAHEIM,4677
LA BOTANERA PULPITA 205GR,3024
MR LUCKY KALE  ORGANICO,6310
PULPIKA ARANDANO  ENCHILADO PULPIKA,3012
 EPAZOTE EMPACADA,3018
 CACAHUATE LIMPIO CRUDO,4934
 MANZANA GOLDEN NACIONAL CHAROLA,4168
 ALBAHACA MIX EMPACADA,2007
HEB GARDEN FRESCAS Y CRUJIENTES,2085
SINAVAN BACTERICIDA NATURAL 60 ML,3007
 PIKECHI NOPAL SAL DE MAR Y LIMON 250 GR,2258
 TORONJA MARSS WHITE,4282
HEB BERROS,2098
 HONGO PORTABELLA DE 225 GR,1024
FRESH GOURMET CRUNCH TORTILLA EN TIRAS,3591
 CALABAZA CRIOLLA,4785
 EARTHBOUND FARM  BABY ROMAINE LETTUCE OR,0190
 CHILE HABANERO NARANJA,4925
